Timestamp(ms),Current(uA),D0-D7
6800,795.805,00000000
6810,760.890,00000000
6820,750.831,00000000
6830,736.178,00000000
6840,741.258,00000000
6850,731.085,00000000
6860,738.739,00000000
6870,761.696,00000000
6880,789.250,00000000
6890,745.558,00000000
6900,747.186,00000000
6910,732.610,00000000
6920,738.815,00000000
6930,730.203,00000000
6940,738.745,00000000
6950,783.370,00000000
6960,774.602,00000000
6970,740.078,00000000
6980,743.326,00000000
6990,732.753,00000000
7000,738.369,00000000
7010,729.257,00000000
7020,763.107,00000000
7030,783.078,00000000
7040,755.555,00000000
7050,738.738,00000000
7060,740.440,00000000
7070,730.146,00000000
7080,736.596,00000000
7090,729.124,00000000
7100,786.229,00000000
7110,778.639,00000000
7120,749.043,00000000
7130,735.987,00000000
7140,740.227,00000000
7150,730.085,00000000
7160,736.157,00000000
7170,745.896,00000000
7180,789.747,00000000
7190,752.188,00000000
7200,748.039,00000000
7210,734.438,00000000
7220,739.296,00000000
7230,730.082,00000000
7240,738.322,00000000
7250,772.190,00000000
7260,784.527,00000000
7270,743.546,00000000
7280,745.476,00000000
7290,731.956,00000000
7300,737.470,00000000
7310,728.863,00000000
7320,745.091,00000000
7330,783.379,00000000
7340,763.419,00000000
7350,739.082,00000000
7360,741.442,00000000
7370,730.432,00000000
7380,735.751,00000000
7390,727.594,00000000
7400,768.773,00000000
7410,777.799,00000000
7420,750.521,00000000
7430,736.869,00000000
7440,738.082,00000000
7450,728.485,00000000
7460,733.710,00000000
7470,728.643,00000000
7480,785.240,00000000
7490,758.109,00000000
7500,742.253,00000000
7510,731.949,00000000
7520,734.487,00000000
7530,725.616,00000000
7540,730.928,00000000
7550,750.224,00000000
7560,780.818,00000000
7570,739.071,00000000
7580,739.143,00000000
7590,728.537,00000000
7600,732.351,00000000
7610,725.141,00000000
7620,730.768,00000000
7630,773.389,00000000
7640,776.453,00000000
7650,735.713,00000000
7660,738.016,00000000
7670,727.965,00000000
7680,732.359,00000000
7690,726.525,00000000
7700,750.260,00000000
7710,776.478,00000000
7720,750.522,00000000
7730,734.226,00000000
7740,735.318,00000000
7750,726.539,00000000
7760,731.670,00000000
7770,725.600,00000000
7780,776.146,00000000
7790,774.553,00000000
7800,744.574,00000000
7810,733.421,00000000
7820,733.390,00000000
7830,726.032,00000000
7840,731.153,00000000
7850,734.909,00000000
7860,787.924,00000000
7870,750.198,00000000
7880,742.322,00000000
7890,731.202,00000000
7900,734.181,00000000
7910,725.931,00000000
7920,732.114,00000000
7930,764.206,00000000
7940,785.160,00000000
7950,741.008,00000000
7960,741.909,00000000
7970,729.246,00000000
7980,733.474,00000000
7990,725.854,00000000
8000,736.760,00000000
8010,784.752,00000000
8020,763.586,00000000
8030,737.048,00000000
8040,739.178,00000000
8050,728.965,00000000
8060,733.428,00000000
8070,727.107,00000000
8080,762.333,00000000
8090,780.256,00000000
8100,750.875,00000000
8110,736.364,00000000
8120,737.744,00000000
8130,728.424,00000000
8140,734.716,00000000
8150,727.392,00000000
8160,786.746,00000000
8170,774.361,00000000
8180,745.559,00000000
8190,734.256,00000000
8200,736.435,00000000
8210,727.674,00000000
8220,732.970,00000000
8230,746.174,00000000
8240,786.346,00000000
8250,746.860,00000000
8260,742.608,00000000
8270,730.617,00000000
8280,734.660,00000000
8290,726.825,00000000
8300,732.428,00000000
8310,769.400,00000000
8320,779.963,00000000
8330,739.853,00000000
8340,741.404,00000000
8350,730.129,00000000
8360,735.042,00000000
8370,727.485,00000000
8380,745.687,00000000
8390,780.324,00000000
8400,758.545,00000000
8410,736.317,00000000
8420,738.012,00000000
8430,727.488,00000000
8440,733.334,00000000
8450,726.566,00000000
8460,769.420,00000000
8470,775.826,00000000
8480,748.858,00000000
8490,735.755,00000000
8500,737.406,00000000
8510,728.280,00000000
8520,733.891,00000000
8530,732.030,00000000
8540,791.160,00000000
8550,758.255,00000000
8560,745.569,00000000
8570,732.449,00000000
8580,736.439,00000000
8590,727.956,00000000
8600,734.290,00000000
8610,756.056,00000000
8620,784.019,00000000
8630,743.203,00000000
8640,742.675,00000000
8650,730.276,00000000
8660,734.455,00000000
8670,726.567,00000000
8680,732.666,00000000
8690,775.804,00000000
8700,772.954,00000000
8710,737.016,00000000
8720,739.722,00000000
8730,729.234,00000000
8740,734.074,00000000
8750,727.465,00000000
8760,754.073,00000000
8770,776.198,00000000
8780,750.276,00000000
8790,734.774,00000000
8800,736.656,00000000
8810,727.834,00000000
8820,733.108,00000000
8830,725.932,00000000
8840,775.576,00000000
8850,770.194,00000000
8860,742.995,00000000
8870,732.817,00000000
8880,734.388,00000000
8890,726.169,00000000
8900,733.123,00000000
8910,738.097,00000000
8920,787.807,00000000
8930,749.034,00000000
8940,742.450,00000000
8950,730.770,00000000
8960,734.348,00000000
8970,726.059,00000000
8980,732.880,00000000
8990,766.702,00000000
9000,783.694,00000000
9010,739.838,00000000
9020,740.563,00000000
9030,728.301,00000000
9040,733.261,00000000
9050,725.968,00000000
9060,739.081,00000000
9070,784.578,00000000
9080,760.477,00000000
9090,736.686,00000000
9100,738.883,00000000
9110,729.128,00000000
9120,733.260,00000000
9130,726.112,00000000
9140,765.987,00000000
9150,778.264,00000000
9160,748.511,00000000
9170,735.644,00000000
9180,737.396,00000000
9190,727.879,00000000
9200,734.066,00000000
9210,727.464,00000000
9220,788.451,00000000
9230,766.540,00000000
9240,745.737,00000000
9250,733.648,00000000
9260,736.585,00000000
9270,726.928,00000000
9280,733.360,00000000
9290,750.875,00000000
9300,785.560,00000000
9310,745.766,00000000
9320,743.305,00000000
9330,730.903,00000000
9340,736.003,00000000
9350,727.059,00000000
9360,733.721,00000000
9370,775.208,00000000
9380,783.785,00000000
9390,739.880,00000000
9400,742.296,00000000
9410,730.771,00000000
9420,736.991,00000000
9430,729.128,00000000
9440,752.283,00000000
9450,782.561,00000000
9460,759.278,00000000
9470,738.392,00000000
9480,740.471,00000000
9490,729.688,00000000
9500,735.841,00000000
9510,728.442,00000000
9520,776.692,00000000
9530,775.788,00000000
9540,750.167,00000000
9550,737.608,00000000
9560,739.076,00000000
9570,729.303,00000000
9580,736.320,00000000
9590,736.946,00000000
9600,794.332,00000000
9610,759.425,00000000
9620,750.209,00000000
9630,736.681,00000000
9640,742.502,00000000
9650,731.680,00000000
9660,740.082,00000000
