Timestamp(ms),Current(uA),D0-D7
11880,943.156,00000000
11890,942.685,00000000
11900,938.336,00000000
11910,941.330,00000000
11920,943.702,00000000
11930,943.156,00000000
11940,944.220,00000000
11950,943.536,00000000
11960,943.999,00000000
11970,942.977,00000000
11980,942.782,00000000
11990,941.493,00000000
12000,941.911,00000000
12010,940.212,00000000
12020,941.031,00000000
12030,940.182,00000000
12040,940.297,00000000
12050,939.667,00000000
12060,940.382,00000000
12070,939.731,00000000
12080,942.150,00000000
