Timestamp(ms),Current(uA),D0-D7
5890,729.868,00000000
5900,733.457,00000000
5910,727.352,00000000
5920,733.210,00000000
5930,780.260,00000000
5940,770.667,00000000
5950,737.502,00000000
5960,738.323,00000000
5970,729.107,00000000
5980,731.798,00000000
5990,726.598,00000000
6000,755.231,00000000
6010,779.925,00000000
6020,742.559,00000000
6030,730.584,00000000
6040,753.336,00000000
6050,752.472,00000000
6060,760.505,00000000
6070,755.168,00000000
6080,761.368,00000000
6090,755.390,00000000
6100,761.130,00000000
6110,755.294,00000000
6120,760.848,00000000
6130,755.801,00000000
6140,760.864,00000000
6150,755.209,00000000
6160,760.788,00000000
6170,755.109,00000000
6180,760.099,00000000
6190,754.802,00000000
6200,759.953,00000000
6210,754.411,00000000
6220,759.247,00000000
6230,753.737,00000000
6240,759.729,00000000
6250,755.281,00000000
6260,760.219,00000000
6270,754.757,00000000
6280,759.849,00000000
6290,754.146,00000000
6300,758.523,00000000
6310,753.615,00000000
6320,758.048,00000000
6330,752.839,00000000
6340,757.883,00000000
6350,753.840,00000000
6360,758.434,00000000
6370,754.470,00000000
6380,759.497,00000000
6390,754.122,00000000
6400,759.933,00000000
6410,753.934,00000000
6420,758.538,00000000
6430,753.626,00000000
6440,759.383,00000000
6450,754.021,00000000
6460,759.264,00000000
6470,754.670,00000000
6480,760.054,00000000
6490,753.949,00000000
6500,759.091,00000000
6510,755.075,00000000
6520,760.512,00000000
6530,756.019,00000000
6540,760.931,00000000
6550,755.560,00000000
6560,760.566,00000000
6570,755.367,00000000
6580,760.995,00000000
6590,756.423,00000000
6600,761.663,00000000
6610,755.679,00000000
6620,760.521,00000000
6630,755.736,00000000
6640,760.124,00000000
6650,756.044,00000000
6660,762.203,00000000
6670,755.768,00000000
6680,760.685,00000000
6690,755.999,00000000
6700,760.912,00000000
6710,755.696,00000000
6720,760.019,00000000
6730,755.298,00000000
6740,760.654,00000000
6750,755.642,00000000
6760,760.479,00000000
6770,755.387,00000000
